Block Number, Date, Time, Liquidity 
16694305,30/06/2022,13:17,5000061.789999993 
16694305,07/07/2022,10:56,5000083.776873097 
16694305,07/07/2022,11:46,5000061.789999993 
16694305,03/08/2022,21:01,5000072.279073196 
16694305,03/08/2022,21:03,5000061.789999993 
16694305,11/09/2022,15:51,5000061.789999993 
16694305,11/09/2022,15:54,5000061.789999993 
16694305,11/09/2022,16:27,5000061.789999993 
16694305,14/09/2022,15:02,300003.70739999955 
16694305,20/09/2022,11:16,301054.5485406086 
16694305,23/09/2022,13:14,4996801.367922392 
16694305,01/10/2022,9:01,4996803.364094077 
16694305,21/10/2022,7:05,2998503.1533813635 
16694305,23/10/2022,4:59,2997452.3122407547 
16694305,03/11/2022,22:45,2997556.1188273276 
16694305,03/11/2022,22:50,2997452.3122407547 
16694305,07/11/2022,3:57,2997501.2480586413 
16694305,07/11/2022,3:59,2997452.392950642 
16694305,22/11/2022,9:30,2.0768815723646306 
16694305,22/11/2022,18:01,4.070509382951628 
16694305,22/11/2022,18:44,207.79988803498992 
16694305,23/11/2022,1:21,208.63865865405953 
16694305,23/11/2022,1:23,998784.6511769975 
16694305,25/11/2022,1:06,998784.7509711218 
16694305,25/11/2022,1:08,998784.7509701218 
16694305,25/11/2022,1:10,998784.7509691218 
16694305,30/11/2022,4:48,998833.2312449246 
16694305,30/11/2022,5:40,998833.2332421265 
16694305,30/11/2022,5:41,998833.3131033393 
16694305,30/11/2022,5:47,998855.2214145273 
16694305,30/11/2022,5:50,998806.7411387245 
16694305,09/12/2022,6:45,898949.1398868902 
16694305,22/01/2023,23:02,898989.0779833586 
16694305,31/01/2023,0:50,898989.0779823586 
16694305,31/01/2023,15:48,774067.2188163139 
16694305,31/01/2023,15:49,649408.5942729291 
16694305,03/02/2023,1:32,649408.5942719291 
16694305,03/02/2023,1:49,649408.5942709291 
16694305,03/02/2023,1:54,649408.5942699291 
16694305,03/02/2023,1:56,649408.5942689291 
16694305,03/02/2023,2:04,649408.5942679291 
16694305,03/02/2023,2:10,649408.5942669291 
16694305,04/02/2023,19:50,649368.6561704606 
16694305,06/02/2023,12:39,578255.5962065826 
16694305,06/02/2023,12:40,498950.58437279536 
16694305,15/02/2023,9:43,393172.1029662236 
16694305,15/02/2023,9:44,299318.0557020472 
16694305,18/02/2023,4:46,299367.458192021 
16694305,18/02/2023,4:49,299318.0557020472 
16694305,19/02/2023,22:59,308558.237485194 
16694305,25/02/2023,8:41,299318.0557020472 
16694305,06/03/2023,3:08,99897.81730731395 
16694305,13/03/2023,18:50,99907.77364509174 
16694305,10/04/2023,21:16,99907.77396143241 
16694305,18/04/2023,0:34,228753.57904998647 
16694305,20/04/2023,5:10,421089.8790666311 
16694305,27/05/2023,17:36,421089.91338606697 
16694305,27/05/2023,19:40,421850.3467996358 
16694305,27/05/2023,21:19,421850.39642714075 
16694305,27/05/2023,21:51,421850.4956404381 
16694305,27/05/2023,22:31,421850.54757059825 
16694305,28/05/2023,1:11,421850.64684419305 
16694305,28/05/2023,15:48,421850.66702924256 
16694305,28/05/2023,17:48,423016.162393141 
16694305,28/05/2023,21:21,423016.1852111899 
16694305,28/05/2023,23:30,423016.284400351 
16694305,29/05/2023,14:21,423016.3401497519 
16694305,29/05/2023,15:33,423016.36990942864 
16694305,29/05/2023,16:19,423016.38974582416 
16694305,29/05/2023,17:50,423016.39612546354 
16694305,29/05/2023,20:33,423016.4159682485 
16694305,30/05/2023,12:17,423016.4258863732 
16694305,30/05/2023,14:23,423016.44671276346 
16694305,30/05/2023,14:30,421850.95134886494 
16694305,30/05/2023,16:43,421850.96325184574 
16694305,31/05/2023,0:55,421850.9733698659 
16694305,31/05/2023,19:35,421850.98527689726 
16694305,31/05/2023,19:53,421850.9971837894 
16694305,01/06/2023,1:12,421851.0071022073 
16694305,01/06/2023,15:15,421851.0170221026 
16694305,01/06/2023,16:16,421851.0270610986 
16694305,01/06/2023,16:43,421851.0389632273 
16694305,01/06/2023,17:29,421851.0508653944 
16694305,01/06/2023,17:37,421851.06088472216 
16694305,01/06/2023,19:32,421851.0727869554 
16694305,01/06/2023,19:41,421851.08282617916 
16694305,01/06/2023,22:27,421851.0950263648 
16694305,02/06/2023,0:15,421851.10593701043 
16694305,02/06/2023,13:46,421851.20511160896 
16694305,04/06/2023,4:30,421090.77169804013 
16694305,05/06/2023,23:24,421091.7630771978 
16694305,09/06/2023,4:27,421090.9243065787 
16694305,18/06/2023,6:38,421091.66696853255 
16694305,29/06/2023,4:42,379006.7475886194 
16694305,30/06/2023,9:26,113871.75549516657 
16694305,30/06/2023,14:31,242.47316940107746 
